State,x,y,,,,,,
Andhra Pradesh,-33,-116,,,,,,
Arunachal Pradesh,295,251,,,,,,
Assam,227,114,,,,,,
Bihar,196,78,,,,,,
Chhattisgarh,69,59,,,,,,
Goa,13,-15,,,,,,
Gujarat,-115,-106,,,,,,
Haryana,-129,28,,,,,,
Himachal Pradesh,-63,120,,,,,,
Jharkhand,-46,167,,,,,,
Karnataka,71,28,,,,,,
Kerala,-89,-125,,,,,,
Madhya Pradesh,-82,-197,,,,,,
Maharashtra,-51,27,,,,,,
Manipur,-97,-43,,,,,,
Meghalaya,212,54,,,,,,
Mizoram,174,64,,,,,,
Nagaland,199,20,,,,,,
Odisha,220,77,,,,,,
Punjab,79,-26,,,,,,
Rajasthan,-79,155,,,,,,
Sikkim,-94,82,,,,,,
Tamil Nadu,123,96,,,,,,
Telangana,-32,-184,,,,,,
Tripura,-39,-68,,,,,,
Uttar Pradesh,176,36,,,,,,
Uttarakhand,3,81,,,,,,
West Bengal,-24,144,,,,,,
,123,12,,,,,,
